article_id,status,category,primary_keyword,secondary_keywords,search_intent,working_title,slug,output_path,parent_hub,protected_intent_conflict,requires_sources,source_notes,internal_link_targets,commercial_link_target,author,planned_date,score,quality_status,last_checked,published_date,notes,batch_id
SAMPLE-KN-01,SAMPLE,Kinh nghiệm,kinh nghiệm kiểm tra xe máy trước khi nhận xe,kiểm tra xe thuê; xe máy,informational,Kinh nghiệm kiểm tra xe máy trước khi nhận xe,sample-kn-01-check-xe,tests/fixtures/good.html,kinhnghiem.html,no,,fixture sample: full QA pass path,kinhnghiem.html; dulich.html; antoan.html,thutuc.html,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
SAMPLE-DL-01,SAMPLE,Du lịch,đi xe máy trong phố cổ cần lưu ý những đường nào,đường cấm phố cổ; phố cổ,informational,Đi xe máy trong Phố Cổ cần lưu ý những đường nào?,sample-dl-01-pho-co,tests/fixtures/good2.html,dulich.html,no,,fixture sample: pass path,dulich.html; cungduong.html; kinhnghiem.html,phoco.html,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
SAMPLE-AT-01,SAMPLE,An toàn,những lỗi phạt nguội chủ xe máy hay gặp,phạt nguội; xe máy,informational,Những lỗi phạt nguội chủ xe máy hay gặp,sample-at-01-phat-nguoi,tests/fixtures/review_no_sources.html,antoan.html,no,true,fixture sample: requires sources,antoan.html; faq.html,thutuc.html,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
SAMPLE-KN-02,SAMPLE,Kinh nghiệm,kinh nghiệm kiểm tra xe máy trước khi nhận bản đầy đủ,kiểm tra xe,informational,Bản nháp A: kiểm tra xe thuê (trùng từ khóa chính),sample-kn-02-dup,tests/fixtures/fail_dup_keyword.html,kinhnghiem.html,no,,fixture sample: duplicate primary keyword with SAMPLE-KN-04,kinhnghiem.html,,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
SAMPLE-KN-04,SAMPLE,Kinh nghiệm,kinh nghiệm kiểm tra xe máy trước khi nhận bản đầy đủ,kiểm tra xe,informational,Matrix-only duplicate keyword pair row (no file),sample-kn-04-dup-pair,,kinhnghiem.html,no,,fixture sample: matrix-only row completing the duplicate keyword pair,,,Mr Tú,,,,,,SAMPLE — excluded from production; matrix-only row; no article file,SAMPLE
SAMPLE-PC-01,SAMPLE,Kinh nghiệm,thuê xe máy phố cổ hà nội,phố cổ,informational,Protected intent collision fixture,sample-fail-protected,tests/fixtures/fail_protected_intent.html,kinhnghiem.html,yes,,fixture sample: protected intent collision,kinhnghiem.html,phoco.html,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
SAMPLE-DL-02,SAMPLE,Du lịch,đi xe máy trong phố cổ cần lưu ý những đường nào ở hà nội,phố cổ; đường một chiều,informational,Bản nháp: tổng hợp đường một chiều Phố Cổ,sample-dl-02-similar,tests/fixtures/review_similar_title.html,dulich.html,no,,fixture sample: near-similar title to SAMPLE-DL-01,dulich.html; kinhnghiem.html,phoco.html,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
SAMPLE-KN-03,SAMPLE,Kinh nghiệm,kinh nghiệm kiểm tra xe máy khi thuê theo tuần,thuê theo tuần; kiểm tra xe,informational,Kinh nghiệm kiểm tra xe máy khi thuê theo tuần,sample-kn-03-weak,tests/fixtures/review_weak_links.html,kinhnghiem.html,no,,fixture sample: weak internal linking,thutuc.html,,Mr Tú,2026-10-01,,,,,SAMPLE — excluded from production; used by test suite,SAMPLE
KN-0001,PUBLISHED,Kinh nghiệm,kinh nghiệm thuê honda wave ở hà nội cho người mới,kinh nghiệm thuê honda wave ở hà nội cho người mới,informational,Kinh nghiệm thuê Honda Wave ở Hà Nội cho người mới,kn-0001-kinh-nghiem-thue-honda-wave-o-ha-noi-cho-nguoi-moi,cam-nang/kinh-nghiem/kn-0001-kinh-nghiem-thue-honda-wave-o-ha-noi-cho-nguoi-moi.html,kinhnghiem.html,no,false,Không bắt buộc nguồn chính thức,kinhnghiem.html; thutuc.html; hoidap.html,thutuc.html,Mr Tú,2027-06-01,100,PASS,2026-09-25,2026-09-25,,BATCH-001
AT-0001,PUBLISHED,An toàn,nồng độ cồn khi lái xe máy: mức xử phạt hiện hành,nồng độ cồn khi lái xe máy: mức xử phạt hiện hành,informational,Nồng độ cồn khi lái xe máy: mức xử phạt hiện hành,at-0001-nong-do-con-khi-lai-xe-may-muc-xu-phat-hien-hanh,cam-nang/an-toan/at-0001-nong-do-con-khi-lai-xe-may-muc-xu-phat-hien-hanh.html,antoan.html,no,true,Xác minh theo nguồn chính thức trước khi xuất bản,antoan.html; kinhnghiem.html; hoidap.html,banggia.html,Mr Tú,2027-06-02,100,PASS,2026-09-25,2026-09-25,,BATCH-001
